correlation,k1,k2,top_X_percent,probability
-0.1,150,6,0.13,0.9972
-0.1,150,6,0.14,0.9989
-0.1,150,7,0.01,0.0
-0.1,150,7,0.02,0.0012
-0.1,150,7,0.03,0.0169
-0.1,150,7,0.04,0.0821
-0.1,150,7,0.05,0.2101
-0.1,150,7,0.060000000000000005,0.3909
-0.1,150,7,0.06999999999999999,0.5771
-0.1,150,7,0.08,0.7303
-0.1,150,7,0.09,0.8469
-0.1,150,7,0.09999999999999999,0.9198
-0.1,150,7,0.11,0.9615
-0.1,150,7,0.12,0.9825
-0.1,150,7,0.13,0.9929
-0.1,150,7,0.14,0.9971
-0.1,150,8,0.01,0.0
-0.1,150,8,0.02,0.0
-0.1,150,8,0.03,0.0051
-0.1,150,8,0.04,0.0318
-0.1,150,8,0.05,0.1085
-0.1,150,8,0.060000000000000005,0.2502
-0.1,150,8,0.06999999999999999,0.4258
-0.1,150,8,0.08,0.5925
-0.1,150,8,0.09,0.7424
-0.1,150,8,0.09999999999999999,0.8487
-0.1,150,8,0.11,0.9206
-0.1,150,8,0.12,0.961
-0.1,150,8,0.13,0.9829
-0.1,150,8,0.14,0.9932
-0.1,200,3,0.01,0.0958
-0.1,200,3,0.02,0.4387
-0.1,200,3,0.03,0.7398
-0.1,200,3,0.04,0.9086
-0.1,200,3,0.05,0.9667
-0.1,200,3,0.060000000000000005,0.9906
-0.1,200,3,0.06999999999999999,0.998
-0.1,200,3,0.08,0.9993
-0.1,200,3,0.09,0.9999
-0.1,200,3,0.09999999999999999,0.9999
-0.1,200,3,0.11,1.0
-0.1,200,3,0.12,1.0
-0.1,200,3,0.13,1.0
-0.1,200,3,0.14,1.0
-0.1,200,4,0.01,0.0199
-0.1,200,4,0.02,0.2223
-0.1,200,4,0.03,0.5278
-0.1,200,4,0.04,0.7796
-0.1,200,4,0.05,0.9123
-0.1,200,4,0.060000000000000005,0.9698
-0.1,200,4,0.06999999999999999,0.9908
-0.1,200,4,0.08,0.9969
-0.1,200,4,0.09,0.9992
-0.1,200,4,0.09999999999999999,0.9999
-0.1,200,4,0.11,1.0
-0.1,200,4,0.12,1.0
-0.1,200,4,0.13,1.0
-0.1,200,4,0.14,1.0
-0.1,200,5,0.01,0.0032
-0.1,200,5,0.02,0.0948
-0.1,200,5,0.03,0.3184
-0.1,200,5,0.04,0.6091
-0.1,200,5,0.05,0.806
-0.1,200,5,0.060000000000000005,0.9267
-0.1,200,5,0.06999999999999999,0.9732
-0.1,200,5,0.08,0.9889
-0.1,200,5,0.09,0.9966
-0.1,200,5,0.09999999999999999,0.999
-0.1,200,5,0.11,0.9999
-0.1,200,5,0.12,1.0
-0.1,200,5,0.13,1.0
-0.1,200,5,0.14,1.0
-0.1,200,6,0.01,0.0002
-0.1,200,6,0.02,0.0315
-0.1,200,6,0.03,0.1695
-0.1,200,6,0.04,0.4272
-0.1,200,6,0.05,0.6681
-0.1,200,6,0.060000000000000005,0.849
-0.1,200,6,0.06999999999999999,0.9404
-0.1,200,6,0.08,0.9754
-0.1,200,6,0.09,0.9911
-0.1,200,6,0.09999999999999999,0.9972
-0.1,200,6,0.11,0.9988
-0.1,200,6,0.12,0.9997
-0.1,200,6,0.13,1.0
-0.1,200,6,0.14,1.0
-0.1,200,7,0.01,0.0
-0.1,200,7,0.02,0.0083
-0.1,200,7,0.03,0.0772
-0.1,200,7,0.04,0.2688
-0.1,200,7,0.05,0.5033
-0.1,200,7,0.060000000000000005,0.7273
-0.1,200,7,0.06999999999999999,0.8732
-0.1,200,7,0.08,0.9476
