correlation,k1,k2,top_X_percent,probability
-0.1,450,3,0.06999999999999999,1.0
-0.1,450,3,0.08,1.0
-0.1,450,3,0.09,1.0
-0.1,450,3,0.09999999999999999,1.0
-0.1,450,4,0.01,0.4107
-0.1,450,4,0.02,0.9333
-0.1,450,4,0.03,0.9964
-0.1,450,4,0.04,0.9999
-0.1,450,4,0.05,1.0
-0.1,450,4,0.060000000000000005,1.0
-0.1,450,4,0.06999999999999999,1.0
-0.1,450,4,0.08,1.0
-0.1,450,4,0.09,1.0
-0.1,450,4,0.09999999999999999,1.0
-0.1,450,5,0.01,0.2047
-0.1,450,5,0.02,0.8467
-0.1,450,5,0.03,0.986
-0.1,450,5,0.04,0.9996
-0.1,450,5,0.05,1.0
-0.1,450,5,0.060000000000000005,1.0
-0.1,450,5,0.06999999999999999,1.0
-0.1,450,5,0.08,1.0
-0.1,450,5,0.09,1.0
-0.1,450,5,0.09999999999999999,1.0
-0.1,450,6,0.01,0.083
-0.1,450,6,0.02,0.7142
-0.1,450,6,0.03,0.9637
-0.1,450,6,0.04,0.9984
-0.1,450,6,0.05,1.0
-0.1,450,6,0.060000000000000005,1.0
-0.1,450,6,0.06999999999999999,1.0
-0.1,450,6,0.08,1.0
-0.1,450,6,0.09,1.0
-0.1,450,6,0.09999999999999999,1.0
-0.1,550,1,0.01,0.9922
-0.1,550,1,0.02,1.0
-0.1,550,1,0.03,1.0
-0.1,550,1,0.04,1.0
-0.1,550,1,0.05,1.0
-0.1,550,1,0.060000000000000005,1.0
-0.1,550,1,0.06999999999999999,1.0
-0.1,550,1,0.08,1.0
-0.1,550,1,0.09,1.0
-0.1,550,1,0.09999999999999999,1.0
-0.1,550,2,0.01,0.9444
-0.1,550,2,0.02,1.0
-0.1,550,2,0.03,1.0
-0.1,550,2,0.04,1.0
-0.1,550,2,0.05,1.0
-0.1,550,2,0.060000000000000005,1.0
-0.1,550,2,0.06999999999999999,1.0
-0.1,550,2,0.08,1.0
-0.1,550,2,0.09,1.0
-0.1,550,2,0.09999999999999999,1.0
-0.1,550,3,0.01,0.8342
-0.1,550,3,0.02,0.9974
-0.1,550,3,0.03,1.0
-0.1,550,3,0.04,1.0
-0.1,550,3,0.05,1.0
-0.1,550,3,0.060000000000000005,1.0
-0.1,550,3,0.06999999999999999,1.0
-0.1,550,3,0.08,1.0
-0.1,550,3,0.09,1.0
-0.1,550,3,0.09999999999999999,1.0
-0.1,550,4,0.01,0.6438
-0.1,550,4,0.02,0.9871
-0.1,550,4,0.03,0.9999
-0.1,550,4,0.04,1.0
-0.1,550,4,0.05,1.0
-0.1,550,4,0.060000000000000005,1.0
-0.1,550,4,0.06999999999999999,1.0
-0.1,550,4,0.08,1.0
-0.1,550,4,0.09,1.0
-0.1,550,4,0.09999999999999999,1.0
-0.1,550,5,0.01,0.4291
-0.1,550,5,0.02,0.9661
-0.1,550,5,0.03,0.9994
-0.1,550,5,0.04,1.0
-0.1,550,5,0.05,1.0
-0.1,550,5,0.060000000000000005,1.0
-0.1,550,5,0.06999999999999999,1.0
-0.1,550,5,0.08,1.0
-0.1,550,5,0.09,1.0
-0.1,550,5,0.09999999999999999,1.0
